Year,Abercrombie & Fitch,Marks & Spencer,Aeropostale,Amazon,American Eagle,Anthropologie,Armani,TJ Maxx,ASICS,ASOS,Triumph,Bershka,Bottega Veneta,Burberry,Lands' End,C&A,Calvin Klein,Calzedonia,Champion,Chanel,Costco,COACH,Columbia Sportswear,Converse,Banana Republic,Dillard's,Dior,Ermenegildo Zegna,,Esprit,Gap,Old Navy,Gildan,Gucci,GUESS,H&M,Hanes,Ross Dress for Less,Hermès,Hudson's Bay,Hugo Boss,Jack & Jones,Jordan,Reebok,Lacoste,Chico's,Levi Strauss & Co,LL Bean,Louis Vuitton,Lululemon,Macy's,Mango,Heilan Home,Massimo Dutti,Matalan,Mexx,Express,Miu Miu,New Balance,New Look,Next,Nike,Kohl's,Nordstrom,Prada,Primark,Pull&Bear,Puma,Ralph Lauren,Walmart,Adidas,Russell Athletic,s.Oliver,SAINT LAURENT,Saks Fifth Avenue,Target,Tesco,The North Face,Timberland,Asda,Tommy Hilfiger,Michael Kors,Under Armour,Uniqlo,United Colors of Benetton,Urban Outfitters,Victoria's Secret,Burlington,Wrangler,Zalando,Zara
2022 FINAL SCORE,46.75,108.75,6.5,77.25,45.75,34.75,43.5,31.75,110.25,126.5,11.75,107.75,115.5,98.75,32.5,147.75,140.75,134.75,67.75,36.75,25.25,66.25,92.25,133.5,109.5,11,71.25,92.25,141.5,109.5,109.5,156,147.5,75,164.75,68,16.5,77.25,19,123.25,88.75,133.5,119,95.75,16.5,123.5,24.5,72.25,129.75,14.25,108.75,0.25,107.75,62,0,12,44.25,102.5,100.25,92.75,133.5,36,42.75,44.25,88,107.75,146,120,60.5,128,94.5,67.25,116.5,21,90,123.5,164.5,164.5,68.5,140.75,33,54.75,123.5,158,34.75,44.75,31.75,111.25,110,107.75,83.89
2022 FINAL PERCENTAGE,0.187,0.435,0.026,0.309,0.183,0.139,0.174,0.127,0.441,0.506,0.047,0.431,0.462,0.395,0.13,0.591,0.563,0.539,0.271,0.147,0.101,0.265,0.369,0.534,0.438,0.044,0.285,0.369,0.566,0.438,0.438,0.624,0.59,0.3,0.659,0.272,0.066,0.309,0.076,0.493,0.355,0.534,0.476,0.383,0.066,0.494,0.098,0.289,0.519,0.057,0.435,0.001,0.431,0.248,0,0.048,0.177,0.41,0.401,0.371,0.534,0.144,0.171,0.177,0.352,0.431,0.584,0.48,0.242,0.512,0.378,0.269,0.466,0.084,0.36,0.494,0.658,0.658,0.274,0.563,0.132,0.219,0.494,0.632,0.139,0.179,0.127,0.445,0.44,0.431,0.3356
2021 Final scores,49.75,120.25,8.5,68.25,38.75,39.25,34.75,32.5,122.25,118.25,14.5,89.5,106,84.5,36,162.75,147.5,26.75,98.25,27,29.25,54,62.25,138.5,123,15.25,55.5,82,150.75,123,123,157.75,139.25,29.75,168.75,98.25,15.25,92.75,33,84.25,63,138.5,136,86.75,21,110.75,21.5,55.5,105.75,25,64.5,0.75,89.5,43,0,14.75,46,105.75,85.5,99.25,138.5,37.25,70.25,46,95,90.5,127,71.5,64.25,136,85,27,107,33,105.25,83.75,164.25,164.25,95.5,147.5,39,53.75,105.25,149.25,39.25,54,36.5,85.5,112.25,89.5,79.63
2021 FINAL PERCENTAGES,0.199,0.481,0.034,0.273,0.155,0.157,0.139,0.13,0.489,0.473,0.058,0.358,0.424,0.338,0.144,0.651,0.59,0.107,0.393,0.108,0.117,0.216,0.249,0.554,0.492,0.061,0.222,0.328,0.603,0.492,0.492,0.631,0.557,0.119,0.675,0.393,0.061,0.371,0.132,0.337,0.252,0.554,0.544,0.347,0.084,0.443,0.086,0.222,0.423,0.1,0.258,0.003,0.358,0.172,0,0.059,0.184,0.423,0.342,0.397,0.554,0.149,0.281,0.184,0.38,0.362,0.508,0.286,0.257,0.544,0.34,0.108,0.428,0.132,0.421,0.335,0.657,0.657,0.382,0.59,0.156,0.215,0.421,0.597,0.157,0.216,0.146,0.342,0.449,0.358,0.3185
% change in score 2020-2022,-0.012,-0.046,-0.008,0.036,0.028,-0.018,0.035,-0.003,-0.048,0.033,-0.011,0.073,0.038,0.057,-0.014,-0.06,-0.027,0.432,-0.122,0.039,-0.016,0.049,0.12,-0.02,-0.054,-0.017,0.063,0.041,-0.037,-0.054,-0.054,-0.007,0.033,0.181,-0.016,-0.121,0.005,-0.062,-0.056,0.156,0.103,-0.02,-0.068,0.036,-0.018,0.051,0.012,0.067,0.096,-0.043,0.177,-0.002,0.073,0.076,0,-0.011,-0.007,-0.013,0.059,-0.026,-0.02,-0.005,-0.11,-0.007,-0.028,0.069,0.076,0.194,-0.015,-0.032,0.038,0.161,0.038,-0.048,-0.061,0.159,0.001,0.001,-0.108,-0.027,-0.024,0.004,0.073,0.035,-0.018,-0.037,-0.019,0.103,-0.009,0.073,0.0171
2020 Final scores,62,149,10,63.5,43,50.5,22,38,114.5,137,25,110.5,116,90,46.5,174.5,134.5,33,97,26.5,38,47,70.5,138,125,24,65,67,160.5,125,125,123,121,48,182,97,21,82.5,47.5,102.5,73,138,173.5,61.5,29.5,119.5,15,65,114,39,54,0,110.5,44,0,20,45.5,121,106.5,90.5,138,41,55.5,45.5,96,110.5,141.5,67.5,70,173.5,90.5,40.5,117,47.5,93.5,108.5,146.5,146.5,84.5,134.5,19,73,99,136.5,50.5,53,36,146.5,97.5,110.5,83.81
2020 FINAL PERCENTAGES,0.248,0.596,0.04,0.254,0.172,0.202,0.088,0.152,0.458,0.548,0.1,0.442,0.464,0.36,0.186,0.698,0.538,0.132,0.388,0.106,0.152,0.188,0.282,0.552,0.5,0.096,0.26,0.268,0.642,0.5,0.5,0.492,0.484,0.192,0.728,0.388,0.084,0.33,0.19,0.41,0.292,0.552,0.694,0.246,0.118,0.478,0.06,0.26,0.456,0.156,0.216,0,0.442,0.176,0,0.08,0.182,0.484,0.426,0.362,0.552,0.164,0.222,0.182,0.384,0.442,0.566,0.27,0.28,0.694,0.362,0.162,0.468,0.19,0.374,0.434,0.586,0.586,0.338,0.538,0.076,0.292,0.396,0.546,0.202,0.212,0.144,0.586,0.39,0.442,0.3352
% change in score 2020-2021,-0.061,-0.161,-0.014,0.055,0.011,-0.063,0.086,-0.025,-0.017,-0.042,-0.053,-0.011,-0.002,0.035,-0.056,-0.107,0.025,0.407,-0.117,0.041,-0.051,0.077,0.087,-0.018,-0.062,-0.052,0.025,0.101,-0.076,-0.062,-0.062,0.132,0.106,0.108,-0.069,-0.116,-0.018,-0.021,-0.114,0.083,0.063,-0.018,-0.218,0.137,-0.052,0.016,0.038,0.029,0.063,-0.099,0.219,0.001,-0.011,0.072,0,-0.032,-0.005,-0.074,-0.025,0.009,-0.018,-0.02,-0.051,-0.005,-0.032,-0.011,0.018,0.21,-0.038,-0.182,0.016,0.107,-0.002,-0.106,-0.014,0.06,0.072,0.072,-0.064,0.025,0.056,-0.073,0.098,0.086,-0.063,-0.033,-0.017,-0.141,0.05,-0.011,0.0003
2019 Final scores,51,140.5,10.5,34,34.5,13.5,18,37.5,76,147,21.5,114,98,83,46,150.5,103,13.5,77,25.5,36.5,55,53,143,134.5,16.5,54,11,155.5,134.5,134.5,102.5,100,50,153,77,20,78.5,53,103.5,70.5,143,160.5,32.5,23,127.5,9.5,54.5,102,32.5,44.5,0.5,114,25,0,14,49,118,75.5,82.5,143,26,44,49,88.5,114,145.5,52,67.5,160.5,57.5,23,94.5,53,90.5,98,141.5,141.5,94,103,17,69,95.5,110,13.5,58,24,141.5,70,114,74.86
2019 FINAL PERCENTAGES,0.204,0.562,0.042,0.136,0.138,0.054,0.072,0.15,0.304,0.588,0.086,0.456,0.392,0.332,0.184,0.602,0.412,0.054,0.308,0.102,0.146,0.22,0.212,0.572,0.538,0.066,0.216,0.044,0.622,0.538,0.538,0.41,0.4,0.2,0.612,0.308,0.08,0.314,0.212,0.414,0.282,0.572,0.642,0.13,0.092,0.51,0.038,0.218,0.408,0.13,0.178,0.002,0.456,0.1,0,0.056,0.196,0.472,0.302,0.33,0.572,0.104,0.176,0.196,0.354,0.456,0.582,0.208,0.27,0.642,0.23,0.092,0.378,0.212,0.362,0.392,0.566,0.566,0.376,0.412,0.068,0.276,0.382,0.44,0.054,0.232,0.096,0.566,0.28,0.456,0.2994
